Địa phương,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
Lai Châu,199.80,212.00,219.00,213.20,228.60,226.40,238.70,252.00,254.58,247.60,262.60,267.80,274.30,283.40,284.14,167.50,208.90,218.23,232.95
Long An,794.70,884.70,832.90,845.70,867.80,873.30,951.90,973.40,973.04,982.40,987.20,996.30,1006.70,1056.80,1029.33,992.70,999.28,1012.31,1019.89
Lào Cai,332.80,326.40,345.80,355.50,358.60,378.80,397.10,408.30,416.95,424.00,429.30,433.60,444.20,435.50,432.98,382.90,396.16,397.56,399.30
Lâm Đồng,624.90,624.90,644.20,668.20,681.90,688.60,717.50,716.10,745.00,712.40,719.80,733.60,748.80,770.10,770.03,778.90,798.20,799.36,802.79
Lạng Sơn,401.80,456.20,441.80,462.40,467.70,480.50,487.30,499.40,504.49,492.90,491.60,491.60,493.90,500.00,487.72,323.20,325.62,328.27,334.98
Nam Định,994.00,1083.10,1081.60,1075.10,1066.20,1072.80,1095.90,1125.10,1127.79,1070.00,1058.50,1051.90,1044.60,1050.10,1025.16,947.20,965.14,968.07,970.08
Nghệ An,1599.50,1624.00,1626.90,1656.10,1776.10,1790.00,1874.10,1992.60,2004.53,1923.20,1916.80,1911.60,1909.60,1926.10,1926.96,1620.60,1623.12,1626.40,1632.61
Ninh Bình,534.30,506.40,514.80,531.00,539.70,557.80,559.80,587.80,588.36,572.30,573.90,576.90,586.20,581.50,563.57,487.30,489.20,492.80,497.60
Ninh Thuận,267.40,287.30,296.90,295.10,311.30,316.30,318.70,319.30,325.77,331.60,328.20,335.90,337.50,338.10,328.29,325.60,333.07,334.78,338.45
Phú Thọ,734.30,767.70,777.40,827.80,843.10,847.20,864.20,874.20,846.97,854.40,856.10,841.60,848.00,850.50,847.42,679.20,713.95,721.74,726.29
Phú Yên,466.30,484.40,487.60,493.80,502.20,508.60,532.70,534.40,525.79,522.10,525.80,514.40,524.50,521.10,510.68,465.20,468.78,473.64,477.03
Quảng Bình,433.00,432.10,438.00,467.20,479.10,485.10,514.90,518.00,530.92,531.90,529.10,527.50,527.70,516.10,505.26,433.00,434.77,435.27,436.01
Quảng Nam,757.10,761.50,782.80,828.10,816.10,811.70,839.30,851.70,882.65,873.30,876.70,879.40,883.40,896.20,891.18,820.40,837.49,838.89,844.59
Quảng Ngãi,691.50,673.40,699.70,713.20,714.60,709.70,723.80,719.70,743.84,750.50,748.20,746.90,746.70,739.20,731.69,670.90,674.93,679.29,683.67
Quảng Ninh,596.00,634.70,630.80,639.50,661.70,683.30,703.90,720.20,718.03,717.70,718.60,728.10,734.70,734.50,693.57,668.00,678.11,685.26,692.40
Quảng Trị,279.30,311.10,306.40,312.70,324.40,333.90,332.30,345.80,347.52,346.00,344.90,345.80,346.40,350.60,348.11,332.80,334.71,335.40,336.70
Sóc Trăng,720.30,707.80,722.30,756.90,752.00,726.70,724.50,705.70,666.15,658.80,682.70,674.40,670.10,657.90,641.91,614.10,625.65,626.86,629.74
Sơn La,605.20,641.00,617.00,644.50,653.10,682.50,703.60,717.90,730.05,729.10,738.30,748.20,758.60,771.00,770.54,555.30,601.90,610.43,613.82
Thanh Hóa,1928.10,1888.70,1975.70,2074.20,2182.20,2238.10,2156.60,2253.70,2241.87,2243.50,2248.00,2253.40,2261.20,2295.00,2225.48,1968.90,1975.59,1977.40,1985.85
Thái Bình,1108.20,1151.00,1071.20,1092.40,1113.00,1143.80,1126.20,1119.90,1135.75,1126.80,1119.20,1120.10,1121.30,1133.10,1084.33,956.10,982.30,986.87,995.85
Thái Nguyên,652.60,668.60,666.70,683.50,685.90,684.90,714.80,711.90,730.37,762.20,761.00,763.20,767.20,777.20,769.91,599.00,611.89,616.64,621.86
Tiền Giang,908.70,993.70,948.40,1018.20,1012.90,988.80,1033.20,1074.90,1052.87,1083.70,1095.80,1102.30,1125.80,1123.50,1112.13,1051.30,1062.52,1081.84,1092.11
TP. Hồ Chí Minh,2966.40,3568.10,3856.50,3868.50,3903.70,4050.10,4160.40,4198.90,4274.27,4420.70,4493.70,4578.70,4684.90,4826.00,4769.63,4622.50,4690.31,4843.59,4915.13
Trung du và miền núi phía Bắc,6275.60,6547.40,6561.20,6801.70,6903.10,7082.10,7229.00,7417.50,7488.08,7443.00,7502.40,7541.60,7670.10,7736.20,7665.63,5866.70,6167.70,6255.32,6350.77
Trà Vinh,569.70,570.00,564.60,609.70,582.90,611.40,596.30,600.20,596.10,595.60,592.30,593.20,588.10,578.70,561.34,535.80,547.40,544.97,544.13
Tuyên Quang,393.80,421.70,443.10,461.70,443.20,452.50,470.70,478.00,481.86,472.60,471.50,472.30,480.60,489.80,480.50,379.00,380.60,381.95,385.33
Tây Nguyên,2548.90,2624.70,2693.40,2855.70,2931.00,3052.70,3135.50,3223.70,3309.37,3301.70,3323.50,3367.80,3410.70,3486.00,3456.58,3520.10,3590.27,3625.14,3660.00
Tây Ninh,579.30,609.10,619.00,621.60,623.70,650.40,658.20,655.80,646.80,660.20,674.30,692.20,676.90,707.00,692.83,655.60,669.78,679.08,687.62
Vĩnh Long,574.90,621.70,631.60,617.50,612.00,620.40,614.00,615.90,617.05,613.40,611.30,610.50,607.90,622.40,603.60,584.00,582.94,590.35,601.17
Vĩnh Phúc,677.10,705.20,591.50,606.30,611.00,617.30,622.30,631.90,652.32,633.60,627.40,625.30,630.50,647.40,634.47,578.40,592.73,607.01,614.10
Yên Bái,431.90,417.80,426.40,445.80,461.40,479.60,479.50,498.90,503.68,503.20,507.60,511.30,519.60,520.40,521.21,371.10,371.71,372.25,375.78
Điện Biên,235.70,257.40,263.60,271.20,275.40,301.10,306.30,332.10,349.92,320.90,326.80,333.70,341.40,351.40,353.09,301.00,330.75,339.54,348.48
Đà Nẵng,385.60,418.00,439.20,437.20,472.00,504.90,518.90,538.60,555.79,574.10,582.70,594.80,601.40,606.70,586.19,579.50,641.77,645.57,654.96
Đông Nam Bộ,6248.20,7121.40,7680.30,7894.00,8048.90,8426.20,8680.90,8822.30,8996.79,9322.20,9514.20,9701.70,9888.00,10174.40,10082.15,9913.30,10162.53,10458.51,10632.68
Đắk Lắk,862.40,878.10,888.60,953.80,965.30,1006.10,1024.80,1061.50,1076.69,1078.30,1075.70,1084.90,1096.90,1117.60,1101.70,1121.50,1141.86,1143.20,1151.13
Đắk Nông,235.10,246.80,249.90,283.30,290.00,305.00,321.70,334.10,349.72,355.70,361.80,365.80,367.40,374.10,373.21,389.10,391.85,395.14,398.74
Đồng bằng sông Cửu Long,9354.90,9772.70,9895.20,10046.10,10090.80,10174.20,10273.60,10224.30,10158.20,10186.80,10202.10,10198.10,10280.40,10102.10,9898.90,9361.40,9485.19,9547.92,9611.37
Đồng bằng sông Hồng,10728.40,11032.50,11057.00,11147.50,11520.00,11662.10,11918.00,12175.10,12248.33,12268.40,12217.00,12273.30,12345.10,12438.20,12182.10,11436.70,11637.94,11781.69,11902.59
Đồng Nai,1213.50,1261.70,1333.30,1397.40,1455.20,1552.40,1564.00,1574.90,1622.78,1690.70,1713.90,1738.70,1765.10,1765.90,1767.62,1757.00,1777.02,1832.07,1850.82
Đồng Tháp,900.90,961.80,999.30,984.20,982.80,982.70,966.50,962.60,987.09,985.60,982.70,975.60,1055.70,929.40,917.35,912.90,910.50,913.66,910.98
