Tỉnh/Thành phố,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Sơ bộ 2024
Long An,0.81,0.91,0.73,0.56,0.46,0.49,0.72,0.65,0.51,0.90,1.17,1.04,1.00,0.97,1.09,0.71,0.49,0.53,0.74
Lào Cai,1.29,1.37,1.38,1.53,1.78,1.63,1.50,1.45,1.41,1.76,1.75,1.74,1.73,1.74,1.78,2.08,1.14,1.21,1.58
Lâm Đồng,1.91,1.34,1.28,1.19,1.25,1.21,1.09,1.09,1.11,0.82,0.79,0.79,0.79,0.61,0.80,0.92,0.80,0.94,1.30
Lạng Sơn,0.49,0.27,0.33,0.35,0.42,0.61,0.60,0.60,0.53,0.69,0.74,0.69,0.93,0.90,0.75,1.04,0.65,0.65,0.83
Nam Định,-0.45,-0.53,-0.19,0.12,0.09,0.19,0.09,0.26,0.31,-0.26,-0.25,-0.24,-0.22,-0.19,-0.03,3.14,2.21,0.55,0.38
Nghệ An,0.19,0.18,0.24,0.08,0.67,0.75,0.92,0.94,0.87,1.42,1.34,1.36,1.38,1.39,0.84,1.33,0.30,0.64,0.88
Ninh Bình,0.14,0.16,0.23,0.16,0.24,0.66,1.26,0.87,0.93,0.98,0.88,0.90,0.96,1.01,0.95,1.37,0.31,0.63,1.30
Ninh Thuận,0.81,0.80,0.88,0.90,0.66,0.81,0.91,0.94,0.94,0.50,0.55,0.67,0.60,0.37,0.44,0.41,0.44,0.42,1.91
Phú Thọ,0.43,0.31,0.45,0.39,0.46,0.51,0.86,0.78,0.67,1.36,1.20,1.52,1.34,1.16,1.06,1.73,0.62,0.92,0.85
Phú Yên,0.75,0.71,0.75,0.66,0.43,0.45,0.70,0.67,0.61,0.06,0.23,0.22,0.17,0.19,0.13,0.14,0.12,0.12,0.85
Quảng Bình,0.64,0.48,0.60,0.18,0.42,0.56,0.57,0.59,0.56,0.59,0.58,0.58,0.61,0.61,0.60,0.96,0.35,0.53,0.66
Quảng Nam,0.31,0.22,0.27,0.37,0.71,0.66,0.71,0.71,0.59,0.57,0.52,0.51,0.50,0.45,0.51,0.89,0.06,0.44,1.17
Quảng Ngãi,0.30,0.18,0.18,0.02,0.31,0.35,0.37,0.52,0.42,0.14,0.10,0.12,0.13,0.11,0.12,0.87,0.12,0.20,0.94
Quảng Ninh,1.33,1.19,1.12,0.97,0.97,0.93,0.83,0.82,1.01,1.13,1.58,1.90,1.46,1.61,0.96,0.99,0.89,1.34,1.11
Quảng Trị,0.29,0.38,0.44,0.31,0.52,0.51,0.57,0.80,0.55,0.58,0.59,0.61,0.70,0.59,0.60,1.63,0.49,0.50,0.77
Sóc Trăng,0.70,0.84,0.69,0.63,0.19,0.21,0.24,0.24,0.24,-0.75,-0.71,-0.75,-0.78,-0.77,-0.32,0.93,-0.75,0.08,0.55
Sơn La,2.00,1.67,1.57,1.12,1.83,1.79,1.41,1.42,1.38,1.52,1.49,1.55,1.62,1.59,1.43,1.35,0.96,1.02,1.31
Thanh Hóa,-0.18,-0.31,-0.25,-0.13,0.52,0.47,0.59,0.57,0.53,0.85,0.96,0.92,0.77,0.40,0.53,1.40,0.15,0.47,0.66
Thái Bình,-0.04,-0.19,-0.07,0.02,0.09,0.07,0.08,0.04,0.03,0.43,0.42,0.43,0.43,0.43,0.43,0.20,0.25,0.20,0.43
Thái Nguyên,0.87,0.59,0.65,0.45,0.53,0.72,0.85,0.60,1.49,2.72,0.98,1.07,1.39,1.37,1.31,1.17,0.97,1.07,1.10
Tiền Giang,0.45,0.38,0.39,0.29,0.31,0.27,0.59,0.65,0.75,0.73,0.66,0.67,0.41,0.41,0.35,0.39,0.33,0.30,0.30
TP. Hồ Chí Minh,3.71,3.75,3.27,3.61,2.09,2.07,2.16,2.08,2.07,2.11,2.06,2.01,2.24,2.21,2.09,-0.66,2.43,0.71,0.92
Trung du và miền núi phía Bắc,1.10,0.92,-0.06,0.69,1.00,1.04,1.03,1.04,1.14,1.43,1.29,1.41,1.42,1.33,1.25,1.57,0.76,1.07,1.34
Trà Vinh,0.39,0.35,0.36,0.24,0.48,0.50,0.52,0.54,0.53,0.06,0.07,0.05,0.07,0.05,0.06,0.86,0.06,0.06,0.39
Tuyên Quang,0.66,0.52,0.56,0.24,0.57,0.76,0.80,0.87,0.88,0.88,0.95,0.93,1.02,1.02,0.84,1.11,0.51,0.80,1.00
Tây Nguyên,2.23,1.79,1.79,1.83,1.47,1.49,1.54,1.54,1.47,1.36,1.30,1.21,1.24,1.12,1.21,1.71,0.97,1.17,1.26
Tây Ninh,0.87,0.63,0.71,0.63,0.66,0.72,0.71,0.66,0.67,0.82,0.86,1.00,0.83,0.95,0.57,0.30,0.58,0.52,0.66
Vĩnh Long,0.14,0.13,0.12,0.10,0.14,0.25,0.53,0.32,0.36,-0.06,-0.03,-0.02,0.01,-0.01,0.03,0.59,-0.02,0.08,0.74
Vĩnh Phúc,1.03,0.69,..,0.66,0.72,0.38,1.09,0.68,1.22,1.26,1.45,1.54,1.36,1.45,1.42,1.75,0.49,1.15,1.15
Yên Bái,0.85,0.86,0.81,0.56,1.29,0.98,0.93,1.16,1.16,1.22,0.91,0.87,0.90,1.04,1.04,1.33,0.54,0.98,1.03
Điện Biên,3.59,2.94,2.86,2.39,2.12,1.92,1.74,1.69,1.82,2.03,1.99,1.96,1.92,1.89,1.96,1.89,1.73,1.61,1.63
Đà Nẵng,2.66,2.61,2.51,2.96,3.15,2.53,2.14,2.12,2.11,2.17,2.27,1.62,1.51,2.40,2.48,2.22,2.07,2.05,2.47
Đông Nam Bộ,3.25,3.46,3.14,3.40,2.34,2.20,2.24,2.17,2.14,2.21,2.07,2.05,2.30,2.30,2.30,-0.15,2.71,1.11,1.16
Đắk Lắk,1.40,1.12,1.09,1.20,0.98,1.02,1.18,1.19,1.13,0.79,0.89,0.76,0.61,0.59,0.77,1.17,0.49,0.68,0.76
Đắk Nông,4.99,3.73,3.72,3.51,2.61,3.13,3.30,3.42,2.91,2.75,2.40,1.76,1.74,1.69,1.93,4.16,0.92,1.70,2.01
Đồng bằng sông Cửu Long,0.63,0.56,0.51,0.41,0.30,0.32,0.42,0.40,0.39,-0.02,0.03,0.05,0.01,0.01,0.21,0.60,0.05,0.18,0.48
Đồng bằng sông Hồng,0.90,0.63,1.28,0.74,1.19,1.08,1.04,1.02,1.09,1.37,1.41,1.38,1.47,1.48,1.33,1.32,1.00,1.19,1.19
Đồng Nai,1.95,2.49,2.53,2.75,2.87,2.67,2.56,2.40,2.38,2.07,2.12,1.81,1.67,1.92,2.05,-0.26,2.74,1.69,1.65
Đồng Tháp,0.79,0.47,0.48,0.25,0.18,0.12,0.20,0.20,0.17,-0.41,-0.41,-0.40,-0.40,-0.46,0.08,0.08,-0.07,0.00,0.05
